AFGHANISTAN,KABUL,Afghanistan
ALBANIA,TIRANA,Albania
ALGERIA,ALGIERS,Algeria
ANDORRA,ANDORRA LA VELLA,Andorra
ANGOLA,LUANDA,Angola
ANTIGUA and BARBUDA,SAINT JOHN'S,Antigua
ARGENTINA,BUENOS AIRES,Argentina
ARMENIA,YEREVAN,Armenia
AUSTRALIA,CANBERRA,Australia
AUSTRIA,VIENNA,Austria
AZERBAIJAN,BAKU,Azerbaijan
BAHAMAS, NASSAU,Bahamas
BAHRAIN,MANAMA,Bahrain
BANGLADESH,DHAKA,Bangladesh
BARBADOS,BRIDGETOWN,Barbados
BELARUS,MINSK,Belarus
BELGIUM,BRUSSELS,Belgium
BELIZE,BELMOPAN,Belize
BENIN,PORTO-NOVO,Benin
BHUTAN,THIMPHU,Bhutan
BOLIVIA,SUCRE,Bolivia
BOSNIA and HERZEGOVINA,SARAJEVO,Bosnia Herzegovina
BOTSWANA,GABORONE,Botswana
BRAZIL,BRASILIA,Brazil
BRUNEI,BANDAR SERI BEGAWAN,Brunei
BULGARIA,SOFIA,Bulgaria
BURKINA FASO,OUAGADOUGOU,Burkina Faso
BURUNDI,BUJUMBURA,Burundi
CABO VERDE,PRAIA,Cabo Verde
CAMBODIA,PHNOM PENH,Cambodia
CAMEROON,YAOUNDE,Cameroon
CANADA,OTTAWA,Canada
CENTRAL AFRICAN REPUBLIC,BANGUI,Central African Republic
CHAD,N'DJAMENA,Chad
CHILE,SANTIAGO,Chile
CHINA,BEIJING,China
COLOMBIA,BOGOTA,Colombia
COMOROS,MORONI,Comoros
COSTA RICA,SAN JOSE,Costa Rica
COTE D'IVOIRE,YAMOUSSOUKRO,Cote d Ivoire
CROATIA,ZAGREB,Croatia
CUBA,HAVANA,Cuba
CYPRUS,NICOSIA,Cyprus
CZECH REPUBLIC,PRAGUE,Czech Republic
DEMOCRATIC REPUBLIC OF THE CONGO,KINSHASA,Congo Democratic Republic of
DENMARK,COPENHAGEN,Denmark
DJIBOUTI,DJIBOUTI (CITY),Djibouti
DOMINICA,ROSEAU,Dominica
DOMINICAN REPUBLIC,SANTO DOMINGO,Dominican Republic
ECUADOR,QUITO,Ecuador
EGYPT,CAIRO,Egypt
EL SALVADOR,SAN SALVADOR,El Salvador
EQUATORIAL GUINEA,MALABO,Equatorial Guinea
ERITREA,ASMARA,Eritrea
ESTONIA,TALLINN,Estonia
ESWATINI,MBABANE,Eswatini
ETHIOPIA,ADDIS ABABA,Ethiopia
FIJI,SUVA,Fiji
FINLAND,HELSINKI,Finland
FRANCE,PARIS,France
GABON,LIBREVILLE,Gabon
GAMBIA, THE,Gambia
GEORGIA,TBILISI,Georgia
GERMANY,BERLIN,Germany
GHANA,ACCRA,Ghana
GREECE,ATHENS,Greece
GRENADA,SAINT GEORGE'S,Grenada
GUATEMALA,GUATEMALA CITY,Guatemala
GUINEA,CONAKRY,Guinea
GUINEA-BISSAU,BISSAU,Guinea Bissau
GUYANA,GEORGETOWN,Guyana
HAITI,PORT-AU-PRINCE,Haiti
HONDURAS,TEGUCIGALPA,Honduras
HUNGARY,BUDAPEST,Hungary
ICELAND,REYKJAVIK,Iceland
INDIA,NEW DELHI,India
INDONESIA,JAKARTA,Indonesia
IRAN,TEHRAN,Iran
IRAQ,BAGHDAD,Iraq
IRELAND,DUBLIN,Ireland
ISRAEL,JERUSALEM,Israel
ITALY,ROME,Italy
JAMAICA,KINGSTON,Jamaica
JAPAN,TOKYO,Japan
JORDAN,AMMAN,Jordan
KAZAKHSTAN,NUR-SULTAN,Kazakhstan
KENYA,NAIROBI,Kenya
KIRIBATI,SOUTH TARAWA,Kiribati
KOSOVO,PRISTINA,Kosovo
KUWAIT,KUWAIT CITY,Kuwait
KYRGYZSTAN,BISHKEK,Kyrgyzstan
LAOS,VIENTIANE,Laos
LATVIA,RIGA,Latvia
LEBANON,BEIRUT,Lebanon
LESOTHO,MASERU,Lesotho
LIBERIA,MONROVIA,Liberia
LIBYA,TRIPOLI,Libya
LIECHTENSTEIN,VADUZ,Liechtenstein
LITHUANIA,VILNIUS,Lithuania
LUXEMBOURG,LUXEMBOURG,Luxembourg
MADAGASCAR,ANTANANARIVO,Madagascar
MALAWI,LILONGWE,Malawi
MALAYSIA,KUALA LUMPUR,Malaysia
MALDIVES,MALE,Maldives
MALI,BAMAKO,Mali
MALTA,VALLETTA,Malta
MARSHALL ISLANDS,MAJURO,Marshall Islands
MAURITANIA,NOUAKCHOTT,Mauritania
MAURITIUS,PORT LOUIS,Mauritius
MEXICO,MEXICO CITY,Mexico
MICRONESIA,PALIKIR,Micronesia
MOLDOVA,CHISINAU,Moldova
MONACO,MONACO,Monaco
MONGOLIA,ULAANBAATAR,Mongolia
MONTENEGRO,PODGORICA,Montenegro
MOROCCO,RABAT,Morocco
MOZAMBIQUE,MAPUTO,Mozambique
MYANMAR,NAY PYI TAW,Myanmar
NAMIBIA,WINDHOEK,Namibia
NAURU,YAREN DISTRICT,Nauru
NEPAL,KATHMANDU,Nepal
NETHERLANDS,AMSTERDAM,Netherlands
NEW ZEALAND,WELLINGTON,New Zealand
NICARAGUA,MANAGUA,Nicaragua
NIGER,NIAMEY,Niger
NIGERIA,ABUJA,Nigeria
NORTH KOREA,PYONGYANG,Korea North
NORTH MACEDONIA,SKOPJE,North Macedonia
NORWAY,OSLO,Norway
OMAN,MUSCAT,Oman
PAKISTAN,ISLAMABAD,Pakistan
PALAU,NGERULMUD,Palau
PALESTINE,EAST JERUSALEM,Palestine
PANAMA,PANAMA CITY,Panama
PAPUA NEW GUINEA,PORT MORESBY,Papua New Guinea
PARAGUAY,ASUNCION,Paraguay
PERU,LIMA,Peru
PHILIPPINES,MANILA,Philippines
POLAND,WARSAW,Poland
PORTUGAL,LISBON,Portugal
QATAR,DOHA,Qatar
REPUBLIC OF THE CONGO,BRAZZAVILLE,Congo
ROMANIA,BUCHAREST,Romania
RUSSIA,MOSCOW,Russia
RWANDA,KIGALI,Rwanda
SAINT KITTS and NEVIS,BASSETERRE,St Kitts Nevis
SAINT LUCIA,CASTRIES,St Lucia
SAINT VINCENT and THE GRENADINES,KINGSTOWN,St Vincent the Grenadines
SAMOA,APIA,Samoa
SAN MARINO,SAN MARINO,San Marino
SAO TOME and PRINCIPE,SAO TOME,Sao Tome and Principe
SAUDI ARABIA,RIYADH,Saudi Arabia
SENEGAL,DAKAR,Senegal
SERBIA,BELGRADE,Serbia
SEYCHELLES,VICTORIA,Seychelles
SIERRA LEONE,FREETOWN,Sierra Leone
SINGAPORE,SINGAPORE,Singapore
SLOVAKIA,BRATISLAVA,Slovakia
SLOVENIA,LJUBLJANA,Slovenia
SOLOMON ISLANDS,HONIARA,Solomon Islands
SOMALIA,MOGADISHU,Somalia
SOUTH AFRICA,BLOEMFONTEIN,South Africa
SOUTH KOREA,SEOUL,Korea South
SOUTH SUDAN,JUBA,South Sudan
SPAIN,MADRID,Spain
SRI LANKA,COLOMBO,Sri Lanka
SUDAN,KHARTOUM,Sudan
SURINAME,PARAMARIBO,Suriname
SWEDEN,STOCKHOLM,Sweden
SWITZERLAND,BERN,Switzerland
SYRIA,DAMASCUS,Syria
TAJIKISTAN,DUSHANBE,Tajikistan
TANZANIA,DODOMA,Tanzania
THAILAND,BANGKOK,Thailand
TIMOR-LESTE,DILI,Timor Leste
TOGO,LOME,Togo
TONGA,NUKUÊ»ALOFA,Tonga
TRINIDAD and TOBAGO,PORT OF SPAIN,Trinidad and Tobago
TUNISIA,TUNIS,Tunisia
TURKEY,ANKARA,Turkey
TURKMENISTAN,ASHGABAT,Turkmenistan
TUVALU,FUNAFUTI,Tuvalu
UGANDA,KAMPALA,Uganda
UKRAINE,KIEV,Ukraine
UNITED ARAB EMIRATES,ABU DHABI,United Arab Emirates
UNITED KINGDOM,LONDON,United Kingdom
UNITED STATES OF AMERICA,WASHINGTON D.C.,United States of America
URUGUAY,MONTEVIDEO,Uruguay
UZBEKISTAN,TASHKENT,Uzbekistan
VANUATU,PORT VILA,Vanuatu
VATICAN CITY,VATICAN CITY,Vatican City
VENEZUELA,CARACAS,Venezuela
VIETNAM,HANOI,Vietnam
YEMEN,SANA'A,Yemen
ZAMBIA,LUSAKA,Zambia
ZIMBABWE,HARARE,Zimbabwe
